log_delta,log_theta,log_alpha,log_beta,log_theta_beta_ratio,log_alpha_theta_ratio,log_alpha_beta_ratio,timestamp
0.4905339101142108,0.6201004258087717,0.20272267329599536,0.08431216447398654,0.5357882613347852,-0.41737775251277626,0.11841050882200879,1736639593.041
0.17242506749683834,0.36123996800544,0.09721222213698141,-0.10385399046997289,0.4650939584754129,-0.2640277458684586,0.20106621260695431,1736639594.041
1.0294798252178834,0.659019251406216,0.19212135869603975,0.04638965124761069,0.6126296001586053,-0.4668978927101763,0.14573170744842906,1736639595.041
0.48058191809135886,0.24552790292514748,0.08352674023427514,-0.05285251682138714,0.29838041974653456,-0.1620011626908723,0.13637925705566226,1736639596.041
0.6037580224399978,0.3823279139029976,0.11116710568735211,0.019586446435328784,0.3627414674676688,-0.2711608082156455,0.09158065925202329,1736639597.041
1.089749289265933,1.0434158245225114,0.5751788842268135,0.01405309703394895,1.0293627274885624,-0.4682369402956979,0.5611257871928645,1736639598.04
0.5735615185677599,0.5382951157197482,0.13694087661293497,-0.12862142096981996,0.6669165366895682,-0.4013542391068132,0.2655622975827549,1736639599.04
0.7913971673908373,0.4002306085978247,0.16075136278279828,-0.056676678283208555,0.45690728688103327,-0.23947924581502644,0.21742804106600683,1736639600.04
0.830179003339014,0.5196022195516805,0.4277669521852458,0.03812474573973603,0.48147747381194445,-0.0918352673664347,0.38964220644550973,1736639601.04
0.15624568685500595,0.0798614958163514,-0.1633116665064801,-0.08725035729133067,0.16711185310768206,-0.24317316232283148,-0.07606130921514946,1736639602.04
0.6736038634322179,0.3592846786877787,0.18199384331618915,-0.05125205649907001,0.4105367351868487,-0.1772908353715895,0.23324589981525914,1736639603.04
0.9063038771056797,0.7090453430904187,0.3938946317947365,0.03318518286574684,0.6758601602246719,-0.3151507112956822,0.36070944892898965,1736639604.04
0.6353997023219495,0.6116558780670764,0.49235986780055846,0.061928896748039905,0.5497269813190365,-0.1192960102665179,0.4304309710525186,1736639605.04
1.7465604567264126,1.2314106636242788,0.9633887224732922,0.5887543420725042,0.6426563215517745,-0.26802194115098643,0.37463438040078806,1736639606.04
1.740156453293829,1.0494435666109971,0.6239785749494505,0.7120085394750929,0.3374350271359041,-0.4254649916615465,-0.08802996452564232,1736639607.04
1.2545415018389967,1.007509928808439,0.6416256029360876,0.19097584093375455,0.8165340878746845,-0.3658843258723514,0.4506497620023331,1736639608.04
1.3341060701746659,1.4517539352882483,1.204800616612727,0.68346486394538,0.7682890713428684,-0.2469533186755214,0.521335752667347,1736639609.04
1.3622666031314181,1.058194285461787,0.7538502698828479,0.18445507392561544,0.8737392115361716,-0.3043440155789391,0.5693951959572324,1736639610.04
1.9186726968928296,1.3098942755702316,1.0771006568918464,0.7411080032294594,0.5687862723407723,-0.23279361867838527,0.335992653662387,1736639611.04
1.5759058780746755,1.2547379716319649,0.9154121433081814,0.37988821480592927,0.8748497568260357,-0.3393258283237836,0.5355239285022522,1736639612.04
1.1620751478040472,0.7220432654107715,0.3033343253212947,0.266539844939304,0.45550342047146747,-0.4187089400894768,0.03679448038199066,1736639613.04
1.157575504325794,1.0353582017902077,0.5778664198664947,0.24692099732441744,0.7884372044657901,-0.4574917819237128,0.3309454225420772,1736639614.04
1.5256489407212235,1.2880225697393555,0.7657279823006764,0.39819312798157097,0.8898294417577846,-0.5222945874386791,0.36753485431910543,1736639615.04
1.3440663225871694,1.1851060180697939,0.8356946648704753,0.3909656298149836,0.7941403882548103,-0.3494113531993185,0.4447290350554917,1736639616.04
1.464314444406133,1.2454225649219657,1.1329404783658068,0.558154905171836,0.6872676597501297,-0.11248208655615893,0.5747855731939708,1736639617.04
1.7560118385191508,1.1283320131639936,0.8006714257712586,0.37539610211167124,0.7529359110523223,-0.3276605873927349,0.42527532365958737,1736639618.04
1.6028733633913526,1.212127369073171,0.8351550916528732,0.39333420785541834,0.8187931612177527,-0.3769722774202979,0.4418208837974548,1736639619.04
1.8323959676238082,1.4648108426728959,0.8326557914889907,0.45215410726579314,1.0126567354071028,-0.6321550511839051,0.3805016842231976,1736639620.04
1.602652146476409,1.4630741669692924,1.0783982969691688,0.6347148585490965,0.8283593084201958,-0.3846758700001236,0.4436834384200722,1736639621.04
1.0121678732048598,0.9829006814658806,0.6227816183391175,0.24739041609469517,0.7355102653711855,-0.36011906312676306,0.37539120224442235,1736639622.04
1.4766885907866336,1.3826688879146385,0.9960082180866644,0.6431815406110923,0.739487347303546,-0.38666066982797404,0.35282667747557206,1736639623.04
1.7397760290690114,1.1919587547838228,0.6198036862645603,0.3524468604377938,0.839511894346029,-0.5721550685192626,0.2673568258267665,1736639624.04
1.307374814039636,1.2934982926479857,0.8086650864620503,0.37167934817131404,0.9218189444766717,-0.4848332061859354,0.4369857382907363,1736639625.04
1.9057300680028058,1.3739413930889153,1.0506033368316057,0.436940828955422,0.9370005641334933,-0.3233380562573096,0.6136625078761837,1736639626.04
1.5085931911916188,0.971899821414352,0.744403916581685,0.36852930334303186,0.6033705180713201,-0.22749590483266705,0.3758746132386531,1736639627.04
2.0113623389528086,1.4163476320942476,1.1222992424566463,0.8122176375277376,0.6041299945665101,-0.29404838963760155,0.3100816049289085,1736639628.04
1.7404057863415348,1.175598186290783,0.9222672408516086,0.4198263254656844,0.7557718608250986,-0.2533309454391745,0.5024409153859242,1736639629.04
1.525838458844135,1.0871859645124105,0.625500216874191,0.17481792816701175,0.9123680363453986,-0.4616857476382193,0.45068228870717936,1736639630.04
